,ID,lat_MERIT,lon_MERIT,area_MERIT,Bsn_cnt_lat,Bsn_cnt_lon,river,station,country,lat_SHEDS,lon_SHEDS,area_GRDC,Error,Comment,ups_num_15min,basin_15min,area_CaMa_15min,ups_num_06min,basin_06min,area_CaMa_06min,ups_num_03min,basin_03min,area_CaMa_03min,ups_num_01min,basin_01min,area_CaMa_01min
74,1286640,-6.825,35.125,9070.8,-6.176,34.561,KISIGO,ILANGALI (55232241),TZ,-6.3,35.083,9669.0,-0.06,Data_lat_error,0.0,83,9181.44140625,0.0,83,9097.748046875,0.0,83,9069.59765625,0.0,83,9071.71484375
75,1286660,-7.125,35.958,69855.7,-7.528,34.729,GREAT RUAHA,MTERA,TZ,-7.119,35.96,69731.0,0.0,,0.0,83,70019.765625,0.0,83,70020.203125,0.0,83,70020.109375,0.0,83,69881.9453125
76,1286900,-7.808,37.925,158297.3,-8.25,35.702,RUFIJI,STIGLER,TZ,-7.806,37.923,158718.5,0.0,,0.0,83,158427.109375,0.0,83,158446.359375,0.0,83,158367.171875,0.0,83,158363.671875
77,1286901,-7.808,37.908,158289.3,-8.25,35.702,RUFIJI,PANGANI,TZ,-7.81,37.906,158670.0,0.0,,0.0,83,158427.109375,0.0,83,158352.0,0.0,83,158350.15625,0.0,83,158350.015625
78,1287700,-5.475,34.958,1069.3,-5.2589999999999995,34.798,MSEMEMBO,U/S MSEMEMBO (55124025),TZ,-5.4670000000000005,34.95,1149.0,-0.07,,1.0,564,594.0194091796875,0.0,563,1102.728759765625,0.0,563,1065.5662841796875,0.0,563,1068.197509765625
79,1289200,-5.1579999999999995,38.442,36571.3,-4.292,37.486999999999995,PANGANI,KOROGWE,TZ,-5.165,38.465,36169.8,0.01,,0.0,364,36683.03125,0.0,364,36658.703125,0.0,364,36588.83203125,0.0,364,36586.41796875
80,1289450,-6.675,38.708,14329.5,-7.071000000000001,38.033,RUVU,MOROGORO ROAD BRIDGE (55223108),TZ,-6.69,38.715,14383.7,0.0,,0.0,751,14517.294921875,1.0,751,14319.7626953125,0.0,751,14360.5771484375,0.0,751,14334.6572265625
81,1308100,32.858000000000004,-4.925,1790.3,32.65,-5.247000000000001,MOULOUYA,ZEIDA,MA,32.856,-4.919,1762.0,0.02,,0.0,274,1784.079345703125,1.0,274,1753.0208740234375,0.0,274,1783.4754638671875,0.0,274,1783.59521484375
82,1309620,32.992,-5.6579999999999995,981.1,33.068000000000005,-5.356,OUM ER RBIA,TARHAT,MA,32.99,-5.656000000000001,1020.9,-0.04,,0.0,401,1115.2110595703125,0.0,401,987.9675903320312,0.0,401,1011.913330078125,0.0,401,978.4757080078125
83,1309720,34.592,-5.257999999999999,6223.1,34.726,-4.726,OUERGHA,M'JARA,MA,34.59,-5.252000000000001,6212.0,0.0,,1.0,385,6156.01318359375,0.0,385,6311.05517578125,0.0,385,6312.39013671875,0.0,385,6222.51806640625
84,1309850,34.542,-4.542,1766.1,34.703,-4.26,OUERGHA,BAB OUENDER,MA,34.544000000000004,-4.544,1745.6,0.01,,1.0,385,1738.62451171875,0.0,385,1806.1710205078125,0.0,385,1781.6107177734375,0.0,385,1765.8946533203125
85,1310500,32.292,-4.525,1288.9,32.46,-4.5680000000000005,ZIA,FOUM TILLICH,MA,32.281,-4.523,1297.0,-0.01,,0.0,236,1294.1624755859375,1.0,236,1283.36279296875,1.0,236,1288.41845703125,0.0,236,1289.9517822265625
86,1357600,-20.225,26.175,24008.2,-19.759,27.151999999999997,NATA,OLD BRIDGE (67921013),BW,-20.233,26.166999999999998,6543.0,2.67,Botswana Dry Area,0.0,341,23988.462890625,0.0,341,23979.607421875,0.0,341,23985.5859375,0.0,341,23971.11328125
87,1396100,-21.875,28.008000000000003,12020.7,-21.805,27.101999999999997,MOTLOUTSE,TOBANE D/S (67536021),BW,-21.883000000000003,28.017,11370.0,0.06,,0.0,43,12179.041015625,0.0,43,12569.662109375,0.0,43,12035.1279296875,0.0,43,12034.037109375
88,1396200,-22.575,27.642,6942.2,-22.468000000000004,26.925,LOTSANE,MAUNATLALA (67537021),BW,-22.566999999999997,27.65,6623.0,0.05,,1.0,43,6730.0126953125,0.0,43,7078.51025390625,0.0,43,6943.52294921875,0.0,43,6942.8955078125
89,1396601,-24.691999999999997,25.925,4352.6,-25.063000000000002,25.708000000000002,METSEMOTHLABA,MOREMA (67538011),BW,-24.95,26.066999999999997,4167.0,0.04,Data_lat_error,1.0,43,4190.89453125,0.0,43,4465.4794921875,0.0,43,4349.025390625,0.0,43,4370.83544921875
90,1425500,4.3919999999999995,-7.558,29779.4,5.932,-7.737,CAVALLY,TATE,CI,4.394,-7.565,29615.4,0.01,,0.0,464,29847.048828125,0.0,463,29849.8359375,0.0,463,29791.90625,0.0,463,29781.37109375
91,1427500,5.757999999999999,-6.608,62731.8,7.6739999999999995,-7.331,SASSANDRA,SOUBRE,CI,5.76,-6.61,62991.8,0.0,,0.0,194,63743.0859375,0.0,194,62748.37890625,0.0,194,62736.14453125,0.0,194,62736.13671875
92,1428400,6.625,-3.725,69390.9,9.002,-4.084,COMOE,ANIASSUE,CI,6.631,-3.727,69679.0,0.0,,0.0,154,69503.4140625,0.0,154,69436.3125,0.0,154,69431.0703125,0.0,154,69382.4453125
93,1428500,6.292000000000001,-3.475,71412.0,8.933,-4.07,COMOE,MBASSO,CI,6.297999999999999,-3.4810000000000003,71704.4,0.0,,1.0,154,71372.265625,0.0,154,71501.1015625,0.0,154,71402.3515625,0.0,154,71399.546875
94,1434740,9.525,-6.608,1052.6,9.503,-6.835,BAGOE,GUINGUERINI,CI,9.523,-6.606,1057.9,-0.01,,1.0,10,944.5048828125,0.0,10,1096.758544921875,0.0,10,1053.1585693359375,0.0,10,1053.15869140625
95,1491210,-18.592,27.158,20307.7,-19.525,28.228,GWAAI,DAHLIA CONTROL SECTION (63351138),ZW,-18.598,27.169,20290.3,0.0,,1.0,15,20098.552734375,0.0,15,20486.40234375,0.0,15,20323.337890625,0.0,15,20301.533203125
96,1491230,-18.942,27.775,3929.2,-19.15,28.426,BUBI,LUPANE G/W (63351139),ZW,-18.944000000000003,27.773000000000003,3939.6,0.0,,2.0,15,2682.3564453125,2.0,15,3824.193359375,0.0,15,3931.372802734375,0.0,15,3927.183837890625
97,1491260,-18.725,28.808000000000003,4208.1,-19.014,29.316999999999997,GWERU,GWERU RIVER CAUSEWAY (63351113),ZW,-18.717,28.8,4201.0,0.0,,0.0,15,4290.59619140625,0.0,15,4276.73583984375,0.0,15,4219.12841796875,0.0,15,4219.65625
